Datetime (UTC),Datetime (Local),Capacity factor,Hour,Month,Year,Day
2016-01-14 15:00:00,2016-01-14 16:00:00,0.112,16,1,2016,14
2016-01-14 16:00:00,2016-01-14 17:00:00,0.02,17,1,2016,14
2016-01-14 17:00:00,2016-01-14 18:00:00,0.0,18,1,2016,14
2016-01-14 18:00:00,2016-01-14 19:00:00,0.0,19,1,2016,14
2016-01-14 19:00:00,2016-01-14 20:00:00,0.0,20,1,2016,14
2016-01-14 20:00:00,2016-01-14 21:00:00,0.0,21,1,2016,14
2016-01-14 21:00:00,2016-01-14 22:00:00,0.0,22,1,2016,14
2016-01-14 22:00:00,2016-01-14 23:00:00,0.0,23,1,2016,14
2016-01-14 23:00:00,2016-01-15 00:00:00,0.0,0,1,2016,15
2016-01-15 00:00:00,2016-01-15 01:00:00,0.0,1,1,2016,15
2016-01-15 01:00:00,2016-01-15 02:00:00,0.0,2,1,2016,15
2016-01-15 02:00:00,2016-01-15 03:00:00,0.0,3,1,2016,15
2016-01-15 03:00:00,2016-01-15 04:00:00,0.0,4,1,2016,15
2016-01-15 04:00:00,2016-01-15 05:00:00,0.0,5,1,2016,15
2016-01-15 05:00:00,2016-01-15 06:00:00,0.0,6,1,2016,15
2016-01-15 06:00:00,2016-01-15 07:00:00,0.0,7,1,2016,15
2016-01-15 07:00:00,2016-01-15 08:00:00,0.001,8,1,2016,15
2016-01-15 08:00:00,2016-01-15 09:00:00,0.067,9,1,2016,15
2016-01-15 09:00:00,2016-01-15 10:00:00,0.193,10,1,2016,15
2016-01-15 10:00:00,2016-01-15 11:00:00,0.328,11,1,2016,15
2016-01-15 11:00:00,2016-01-15 12:00:00,0.424,12,1,2016,15
2016-01-15 12:00:00,2016-01-15 13:00:00,0.454,13,1,2016,15
2016-01-15 13:00:00,2016-01-15 14:00:00,0.432,14,1,2016,15
2016-01-15 14:00:00,2016-01-15 15:00:00,0.356,15,1,2016,15
